row,doi,paper,column,previous,corrected,evidence,paper_note
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,Decoding notes,,"Published supplement pp. 5-8: track windows 20 ms, arena 80 ms; code establishes 5 ms steps (text says overlapping by 5 ms). Spatial bins are 2 cm; Gaussian SD is 2 cm for track and 8 cm for arena in text. Track code applies a nominal 2 cm Gaussian per filtfilt pass. Arena code passes 8/2=4 as mvnpdf covariance, giving nominal SD sqrt(4)*2=4 cm. Published main text reports mean positional errors 2.9 cm (track) and 3.4 cm (arena), evaluated with nonoverlapping 400 ms windows; Methods exclude sessions with error >10 cm. Arena text defines Euclidean COM jumps; released compute_filtering_binDecoding_cm instead thresholds the absolute change of the first COM coordinate. Text/code differences and caller limits are recorded in the paper note.","Published Science supplement science.ads4760_sm.pdf, pp. 5-8; published main text p. 541 (errors 2.9/3.4 cm); paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), compute_rateMap.m, setUp_gaussFilt.m and compute_filtering_binDecoding_cm.m:15.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,Shuffle Method,"none (criteria-based: weighted correlation, coverage, posterior difference, jump)",none for primary criteria-based replay; Spearman test for track rank-order control,"Published Science supplement science.ads4760_sm.pdf, pp. 6-7: primary replay uses fixed criteria; rank-order control uses Spearman p<0.05. spearman_median.m calls MATLAB corr(type=Spearman). The 5000 shuffles on pp. 8-9 test replay-pair statistics, not event significance.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,Sig. Thresh.,#N/A,Criteria-based (primary); Spearman p<0.05 (track control),"Published Science supplement science.ads4760_sm.pdf, pp. 6-7: primary replay uses fixed criteria; rank-order control uses Spearman p<0.05. spearman_median.m calls MATLAB corr(type=Spearman). The 5000 shuffles on pp. 8-9 test replay-pair statistics, not event significance.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,Reconst. Error bin (ms),#N/A,400,"Published Science supplement science.ads4760_sm.pdf, p. 6: nonoverlapping 400 ms windows during movement.",papers/00_Mallory_2025.md
1,https://doi.org/10.1038/s41467-025-65181-5,Widloski 2025,Detection Notes,"Decoded replay with no ripple or burst requirement
candidate = continuous epoch >=100 ms of smoothly changing decoded position
merged if gap <20 cm and <50 ms; kept if duration >100 ms and dispersion >12 cm
ripples (2 SD, >=15 ms) and bursts (3 SD, >=50 ms) label events after detection","Decoded replay with no ripple or burst requirement / candidate = continuous epoch >=100 ms of smoothly changing decoded position / merged if gap <20 cm and <50 ms; kept if duration >100 ms and dispersion >12 cm / ripples (2 SD, >=15 ms) and bursts (3 SD, >=50 ms) label events after detection / Replay is defined by decoding (80 ms windows, 5 ms steps, >100 ms duration); secondary ripple detector: 2 SD, >=15 ms, merge gaps <50 ms; secondary burst detector: 3 SD, >=50 ms. Both traces use Gaussian SD 80 ms. Replay significance requires p<0.05 for both posterior-spread and jump-size measures against 100 place-cell identity shuffles. Separate 100-snippet tests assess ripple/burst absence. Publisher correction of 17 April 2026 changes references only.","Published Methods, Replay detection / Spike density and ripple amplitude; author correction DOI 10.1038/s41467-026-72252-8.",papers/01_Widloski_2025.md
1,https://doi.org/10.1038/s41467-025-65181-5,Widloski 2025,MUA Z-score Thresh. (STD),#N/A,3,"Published Methods, Spike density and ripple amplitude: secondary burst detector.",papers/01_Widloski_2025.md
1,https://doi.org/10.1038/s41467-025-65181-5,Widloski 2025,SWR Z-score Thresh. (STD),#N/A,2,"Published Methods, Spike density and ripple amplitude: secondary ripple detector.",papers/01_Widloski_2025.md
1,https://doi.org/10.1038/s41467-025-65181-5,Widloski 2025,MUA smooth (ms),#N/A,80,"Published Methods, Bayesian decoding / Place fields / Spike density and ripple amplitude; 64 tetrodes are analyzed individually and as an average.",papers/01_Widloski_2025.md
1,https://doi.org/10.1038/s41467-025-65181-5,Widloski 2025,SWR smooth (ms),#N/A,80,"Published Methods, Bayesian decoding / Place fields / Spike density and ripple amplitude; 64 tetrodes are analyzed individually and as an average.",papers/01_Widloski_2025.md
1,https://doi.org/10.1038/s41467-025-65181-5,Widloski 2025,SWR electrodes (#),#N/A,64,"Published Methods, Bayesian decoding / Place fields / Spike density and ripple amplitude; 64 tetrodes are analyzed individually and as an average.",papers/01_Widloski_2025.md
1,https://doi.org/10.1038/s41467-025-65181-5,Widloski 2025,SWR Low Band (Hz),#N/A,100,"Published Methods, Bayesian decoding / Place fields / Spike density and ripple amplitude; 64 tetrodes are analyzed individually and as an average.",papers/01_Widloski_2025.md
1,https://doi.org/10.1038/s41467-025-65181-5,Widloski 2025,SWR High Band (Hz),#N/A,220,"Published Methods, Bayesian decoding / Place fields / Spike density and ripple amplitude; 64 tetrodes are analyzed individually and as an average.",papers/01_Widloski_2025.md
1,https://doi.org/10.1038/s41467-025-65181-5,Widloski 2025,Position bin (cm),#N/A,2,"Published Methods, Bayesian decoding / Place fields / Spike density and ripple amplitude; 64 tetrodes are analyzed individually and as an average.",papers/01_Widloski_2025.md
1,https://doi.org/10.1038/s41467-025-65181-5,Widloski 2025,Place field smooth (cm),#N/A,8,"Published Methods, Bayesian decoding / Place fields / Spike density and ripple amplitude; 64 tetrodes are analyzed individually and as an average.",papers/01_Widloski_2025.md
2,https://doi.org/10.1126/science.adk8261,Yang 2024,Detection Notes,"MUA and SWR
MUA with at least one LFP w/ SWR
during NREM (manually scored)",MUA and SWR / MUA with at least one LFP w/ SWR / NREM and quiet waking (automatic state scoring with manual curation) / The 20 ms decoding entry describes UMAP population vectors; the supplementary Bayesian reconstruction uses 100 ms windows. The MUA threshold does not specify the independent LFP detector.,"Supplementary Methods, PDF pp. 11 and 16.",papers/02_Yang_2024.md
2,https://doi.org/10.1126/science.adk8261,Yang 2024,SWR Z-score Thresh. (STD),3,Not reported,wrong or missing: LFP ripple threshold not stated; 3 SD is the MUA trigger; see the paper note and historical proposal for source location.,papers/02_Yang_2024.md
2,https://doi.org/10.1126/science.adk8261,Yang 2024,SWR smooth (ms),#N/A,Not reported,"wrong or missing: an LFP ripple detector exists but its method is unstated, so '#N/A' (no such step) is not supported; 'Not reported' matches the other four LFP fields and Grosmark 2016 (row 36), whose text is identical. Minor.; see the paper note and historical proposal for source location.",papers/02_Yang_2024.md
2,https://doi.org/10.1126/science.adk8261,Yang 2024,SWR electrodes (#),1,Not reported,wrong or missing: ripple channel count not stated; see the paper note and historical proposal for source location.,papers/02_Yang_2024.md
2,https://doi.org/10.1126/science.adk8261,Yang 2024,SWR Low Band (Hz),150,Not reported,wrong or missing: ripple band not stated; 150-250 not given for detection; see the paper note and historical proposal for source location.,papers/02_Yang_2024.md
2,https://doi.org/10.1126/science.adk8261,Yang 2024,SWR High Band (Hz),250,Not reported,wrong or missing: the ripple band is not stated; 150-250 Hz is not given for detection; see the paper note and historical proposal for source location.,papers/02_Yang_2024.md
2,https://doi.org/10.1126/science.adk8261,Yang 2024,Decoding notes,,"20 ms refers to UMAP candidate-event bins; Bayesian equations describe 100 ms bins. Trial-label shuffling (1000 repetitions) tests behavioral decoding accuracy and does not establish the number of replay-event shuffles. The archived Python main.py is a template, not the replay analysis.",Yang supplementary Methods pp. 8-9 (combined PDF pp. 15-16); exact tagged GitHub tree 2fa546845defbdd750c9059e7d54489782fed57c.,papers/02_Yang_2024.md
2,https://doi.org/10.1126/science.adk8261,Yang 2024,Shuffles (#),#N/A,Not reported,Yang supplementary Methods pp. 8-9 (combined PDF pp. 15-16); exact tagged GitHub tree 2fa546845defbdd750c9059e7d54489782fed57c.,papers/02_Yang_2024.md
2,https://doi.org/10.1126/science.adk8261,Yang 2024,Sig. Thresh.,#N/A,Both distance-to-manifold and trajectory-length tests; cutoff not reported,Yang supplementary Methods pp. 8-9 (combined PDF pp. 15-16); exact tagged GitHub tree 2fa546845defbdd750c9059e7d54489782fed57c.,papers/02_Yang_2024.md
3,https://doi.org/10.1038/s41467-023-43939-z,Huelin Gorriz 2023,Detection Notes,MUA and SWR,"MUA and SWR / Independently reopened release: 41-point gausswin(alpha=2) on 1 ms MUA bins gives nominal SD 10 ms per pass (filtfilt effective finite-kernel SD about 12.58 ms); paper says 5 ms. Ripple envelope uses smooth(...,15) at 1 kHz (15 ms moving average); paper says 100 ms. The batch script calls extract_replay_events, but that function is absent from the complete release, so the paper's 750 ms maximum is retained.","Zenodo 10085294 / dbendor/Nat_Com_Huelin_Gorriz_et_al b0676a5: batch_analysis_folders.m, list_of_parameters.m, process_clusters.m and extract_CSC.m.",papers/03_HuelinGorriz_2023.md
3,https://doi.org/10.1038/s41467-023-43939-z,Huelin Gorriz 2023,MUA smooth (ms),5,10,"Zenodo 10085294 / dbendor/Nat_Com_Huelin_Gorriz_et_al b0676a5: batch_analysis_folders.m, list_of_parameters.m, process_clusters.m and extract_CSC.m.",papers/03_HuelinGorriz_2023.md
3,https://doi.org/10.1038/s41467-023-43939-z,Huelin Gorriz 2023,SWR smooth (ms),100,15,"Zenodo 10085294 / dbendor/Nat_Com_Huelin_Gorriz_et_al b0676a5: batch_analysis_folders.m, list_of_parameters.m, process_clusters.m and extract_CSC.m.",papers/03_HuelinGorriz_2023.md
3,https://doi.org/10.1038/s41467-023-43939-z,Huelin Gorriz 2023,SWR electrodes (#),#N/A,1,"wrong or missing: one channel, the one with the highest ripple-band power; see the paper note and historical proposal for source location.",papers/03_HuelinGorriz_2023.md
3,https://doi.org/10.1038/s41467-023-43939-z,Huelin Gorriz 2023,Decoding notes,,Whole-event replay must pass all three shuffle tests at p<0.05; a split half must pass all three at p<0.025. Shuffles are 1000 per method.,"Huelin Gorriz Methods, PDF p. 12; release b0676a5.",papers/03_HuelinGorriz_2023.md
3,https://doi.org/10.1038/s41467-023-43939-z,Huelin Gorriz 2023,Shuffles (#),#N/A,1000,"Zenodo 10085294 / dbendor/Nat_Com_Huelin_Gorriz_et_al b0676a5: batch_analysis_folders.m, list_of_parameters.m, process_clusters.m and extract_CSC.m.",papers/03_HuelinGorriz_2023.md
3,https://doi.org/10.1038/s41467-023-43939-z,Huelin Gorriz 2023,Sig. Thresh.,95th percentile (all three),Whole event p<0.05; split half p<0.025 (all three),"Huelin Gorriz Methods, PDF p. 12; release b0676a5.",papers/03_HuelinGorriz_2023.md
4,https://doi.org/10.1016/j.neuron.2023.04.015,Harvey 2023,Detection Notes,"SWR
Ripple with a simultaneous
sharp wave from radiatum
events with 50%> empty time bins removed","SWR / ripple with a simultaneous radiatum sharp wave, detected by neurocode DetectSWR on one pyramidal and one radiatum channel (code; the text describes difference-of-Gaussians ripple power at 4 SD extended to 1 SD, >= 15 ms, and a 2.5 SD, 20-400 ms sharp wave) / sessions without a radiatum channel: FindRipples (code) / replay candidates: ripples >= 80 ms with >= 5 active place cells; events with >50% empty time bins removed / Secondary sessions without radiatum use FindRipples at 100-250 Hz, peak 3 SD, bounds 1 SD, maximum 300 ms. Main numeric fields describe the DetectSWR path; its SD is a local feature scale.",Paper code 7b368a9 update_session_data.m and custom_kenji/run_ripple_pipe_kenji.m; neurocode 4b33b2a DetectSWR.m.,papers/04_Harvey_2023.md
4,https://doi.org/10.1016/j.neuron.2023.04.015,Harvey 2023,SWR Z-score Thresh. (STD),4,2.5,"wrong or missing (paper's code): DetectSWR's default peak threshold, 2.5 local SD on the ripple and sharp-wave features (0.5 at the bounds); the text's 4 SD belongs to a detector the code does not run. Sessions without a radiatum channel used FindRipples at 1 and 3 SD; see the paper note and historical proposal for source location.",papers/04_Harvey_2023.md
4,https://doi.org/10.1016/j.neuron.2023.04.015,Harvey 2023,Animal Speed (cm/s),4,#N/A,"unrelated part of the paper: 4 cm/s is a place-field / movement criterion, not detection; the paper's code agrees: `speed_thres=4` sets the tuning curves only; see the paper note and historical proposal for source location.",papers/04_Harvey_2023.md
4,https://doi.org/10.1016/j.neuron.2023.04.015,Harvey 2023,Min. Duration (ms),15,80,"wrong or missing (paper's code): replay candidates are ripples of at least 80 ms, an inclusion criterion applied before decoding; the text gives only the ripple detector's 15 ms and never mentions 80; see the paper note and historical proposal for source location.",papers/04_Harvey_2023.md
4,https://doi.org/10.1016/j.neuron.2023.04.015,Harvey 2023,Max Duration (ms),400,#N/A,"wrong or missing: 400 ms is the sharp-wave duration limit (20-400 ms), no ripple-event maximum; the paper's code agrees for sessions with a radiatum channel (DetectSWR limits only the sharp wave, to 500 ms), but sessions without one used FindRipples with a 300 ms maximum; see the paper note and historical proposal for source location.",papers/04_Harvey_2023.md
5,https://doi.org/10.1126/science.adi8237,Liu 2023,Animal Speed (cm/s),4,#N/A,"unrelated part of the paper: 4 cm/s is a place-field criterion; the paper's code (neurocode DetectSWR, release v1.0.0) has no speed criterion; see the paper note and historical proposal for source location.",papers/05_Liu_2023.md
6,https://doi.org/10.7554/eLife.79031,Tirole 2022,Detection Notes,MUA,"MUA and SWR / MUA burst with ripple-band z >= 3 inside it / Code values: MUA Gaussian SD 10 ms per pass via filtfilt (effective SD about 12.6 ms for the finite kernel); ripple 15 ms moving average; no maximum-duration exclusion. Text instead states 5 ms, 100 ms and 750 ms, respectively. Minimum 100 ms precedes 50 ms merging.","Pinned paper release 44ecf42, process_clusters.m, extract_CSC.m, extract_replay_events.m and list_of_parameters.m.",papers/06_Tirole_2022.md
6,https://doi.org/10.7554/eLife.79031,Tirole 2022,MUA smooth (ms),5,10,"Released code 44ecf42, process_clusters.m and list_of_parameters.m: gausswin(41,2), SD 10 ms per pass, applied forward and backward.",papers/06_Tirole_2022.md
6,https://doi.org/10.7554/eLife.79031,Tirole 2022,SWR smooth (ms),100,15,"Released code 44ecf42, extract_CSC.m: smooth(abs(hilbert(...)),15) at 1 kHz.",papers/06_Tirole_2022.md
6,https://doi.org/10.7554/eLife.79031,Tirole 2022,Max Duration (ms),750,#N/A,"Released code 44ecf42, extract_replay_events.m: long events are counted but retained.",papers/06_Tirole_2022.md
6,https://doi.org/10.7554/eLife.79031,Tirole 2022,Decoding notes,,Whole-event replay must pass all three shuffle tests at p<0.05; a split half must pass all three at p<0.025. Shuffles are 1000 per method.,"Tirole release 44ecf42, number_of_significant_replays.m.",papers/06_Tirole_2022.md
6,https://doi.org/10.7554/eLife.79031,Tirole 2022,Sig. Thresh.,95th percentile (all three),Whole event p<0.05; split half p<0.025 (all three),"Tirole release 44ecf42, number_of_significant_replays.m.",papers/06_Tirole_2022.md
7,https://doi.org/10.1016/j.cub.2021.10.033,Bush 2022,Detection Notes,"MUA or SWR
median speed used for immobility,
event start time is considered first spike","MUA / median speed used for immobility / >= 5 or 15% of pyramidal cells active, whichever is larger / ripple-band detector (150-250 Hz, 5 ms smoothing, 3 SD, one channel) as a separate control","notes: ""MUA or SWR"" is two separate analyses; ""first spike"" is decoding-bin alignment; a later adaptation of Bush's detector agrees on both points (see the note); see the paper note and historical proposal for source location.",papers/07_Bush_2022.md
8,https://doi.org/10.1016/j.neuron.2022.03.010,Berners-Lee 2022,Detection Notes,MUA,MUA / 20 ms decoding windows are used both with 5 ms steps and without overlap (20 ms steps); the step column records the latter variant.,"Methods, Bayesian decoding, PDF p. 17.",papers/08_Berners-Lee_2022.md
8,https://doi.org/10.1016/j.neuron.2022.03.010,Berners-Lee 2022,Decoding notes,,"Primary event criteria are abs(weighted correlation)>0.6 and maximum jump<0.4 of track length. Paper describes 20 ms windows both in 5 ms steps and without overlap; the reopened spike-density helper uses nonoverlapping 20 ms windows. The 5000 time shuffles test counts of qualifying events, not a p<0.05 test for each replay.","Berners-Lee 2022 Methods, PDF pp. 17-18; Zenodo 6330850 Publication release, decode_spikedensity_events.m.",papers/08_Berners-Lee_2022.md
8,https://doi.org/10.1016/j.neuron.2022.03.010,Berners-Lee 2022,Time bin step (ms),20,5 or 20,"Berners-Lee 2022 Methods, PDF pp. 17-18; Zenodo 6330850 Publication release, decode_spikedensity_events.m.",papers/08_Berners-Lee_2022.md
8,https://doi.org/10.1016/j.neuron.2022.03.010,Berners-Lee 2022,Shuffle Method,Time-bin shuffle,Time-bin shuffle (test of event counts),"Berners-Lee 2022 Methods, PDF pp. 17-18; Zenodo 6330850 Publication release, decode_spikedensity_events.m.",papers/08_Berners-Lee_2022.md
8,https://doi.org/10.1016/j.neuron.2022.03.010,Berners-Lee 2022,Sig. Thresh.,p<0.05,Criteria-based events; p<0.05 on counts,"Berners-Lee 2022 Methods, PDF pp. 17-18; Zenodo 6330850 Publication release, decode_spikedensity_events.m.",papers/08_Berners-Lee_2022.md
9,https://doi.org/10.1016/j.neuron.2022.02.002,Widloski 2022,Reconst. Error bin (ms),#N/A,250,"Widloski 2022 Methods, PDF p. 19: behavioral decoding in 250 ms windows.",papers/09_Widloski_2022.md
10,https://doi.org/10.1016/j.neuron.2021.11.014,Krause 2022,Detection Notes,"MUA and SWR
>2 sp./s",MUA and SWR / >2 sp./s / Published MUA control uses Gaussian SD 20 ms; subsequent SWR trimming uses >2 spikes/s/cell in 3 ms bins and retains trimmed events >=30 ms. The 50 ms minimum in the column is the original SWR criterion. / MUA smoothing column follows the released implementation: 10 ms SD; the text reports 20 ms.,"Paper release v1.0, replay_structure/highsynchronyevents.py lines 48-50.",papers/10_Krause_2022.md
10,https://doi.org/10.1016/j.neuron.2021.11.014,Krause 2022,MUA smooth (ms),20,10,"Paper release v1.0, replay_structure/highsynchronyevents.py lines 48-50: 1 ms histogram and gaussian_filter1d(...,10). Text says 20 ms.",papers/10_Krause_2022.md
13,https://doi.org/10.7554/eLife.64505,Denovellis 2021,Detection Notes,SWR,"SWR / only SWRs with spikes on >= 2 tetrodes analyzed / MUA done as control (2 SD, >= 15 ms) / The original caller bins MUA at 500 Hz and calls multiunit_HSE_detector with z=2 and minimum duration 15 ms, without overriding the pinned package's Gaussian SD 15 ms.","notes: record the multiunit control in the notes, as for Gillespie 2021; see the paper note and historical proposal for source location. Independent recheck: replay_trajectory_paper f2d2b3c, src/load_data.py and environment.yml; pinned ripple_detection 0.1.8.dev0 / local 71298f0 detectors.py default smoothing_sigma=0.015.",papers/13_Denovellis_2021.md
13,https://doi.org/10.7554/eLife.64505,Denovellis 2021,MUA Z-score Thresh. (STD),#N/A,2,"Methods, Identifying events of high multiunit activity, PDF p. 27: secondary MUA control.",papers/13_Denovellis_2021.md
13,https://doi.org/10.7554/eLife.64505,Denovellis 2021,MUA smooth (ms),#N/A,15,"Methods, Identifying events of high multiunit activity, PDF p. 27 does not specify a smoothing width. Independent recheck: replay_trajectory_paper f2d2b3c, src/load_data.py and environment.yml; pinned ripple_detection 0.1.8.dev0 / local 71298f0 detectors.py default smoothing_sigma=0.015.",papers/13_Denovellis_2021.md
14,https://doi.org/10.1016/j.neuron.2021.07.029,Gillespie 2021,Detection Notes,MUA done as control,"SWR / MUA done as control (3 SD, 15 ms Gaussian smoothing)",notes: keep the control values in the notes; the Frank-lab MUA detector the paper's archive names has these values (see the note); see the paper note and historical proposal for source location.,papers/14_Gillespie_2021.md
14,https://doi.org/10.1016/j.neuron.2021.07.029,Gillespie 2021,Place field smooth (cm),5,Not reported,"Gillespie 2021 Methods, PDF p. 21; main Results median deviation less than one 5 cm spatial bin.",papers/14_Gillespie_2021.md
14,https://doi.org/10.1016/j.neuron.2021.07.029,Gillespie 2021,Decoding notes,,"5 cm is the position-bin width; the Methods give a 20 microvolt waveform KDE bandwidth but do not establish a 5 cm spatial kernel SD. A spatially continuous event crosses posterior 0.8; if both states cross, continuous must occupy more time bins. A maze segment must contain at least 30% mean posterior. Median error is <5 cm; quality is evaluated at video frames (30 Hz), using the 2 ms decoder.","Gillespie 2021 Methods, PDF p. 21; main Results median deviation less than one 5 cm spatial bin.",papers/14_Gillespie_2021.md
14,https://doi.org/10.1016/j.neuron.2021.07.029,Gillespie 2021,Reconst. Error (cm),5,<5 (median),"Gillespie 2021 Methods, PDF p. 21; main Results median deviation less than one 5 cm spatial bin.",papers/14_Gillespie_2021.md
14,https://doi.org/10.1016/j.neuron.2021.07.029,Gillespie 2021,Sig. Thresh.,#N/A,Continuous-state posterior >0.8; segment posterior >=0.30,"Gillespie 2021 Methods, PDF p. 21; main Results median deviation less than one 5 cm spatial bin.",papers/14_Gillespie_2021.md
15,https://doi.org/10.1016/j.cub.2021.07.058,Michon 2021,Decoding notes,,"The <30 cm error entry is the 75th-percentile criterion used to select sessions, not a reported mean or median reconstruction error. Evaluated in 100 ms behavioral windows. Replay uses 500 pooled cross-event surrogates; a separate 500-surrogate direction-bias test also appears.","Michon 2021 Methods, PDF p. 18.",papers/15_Michon_2021.md
16,https://doi.org/10.1073/pnas.2011266118,Igata 2021,Detection Notes,"MUA and SWR
Mahalanobis distance used for overall ripple power
GMM used for ripple power","MUA and SWR / Mahalanobis distance used for overall ripple power / GMM used for ripple power / Supplement verified: MUA peak >2 SD, >4 cells, Gaussian SD 15 ms, 50-2000 ms; ripple envelopes use 150-250 Hz and Gaussian SD 4 ms, then Mahalanobis power and GMM selection. A separate SWR detector uses peak 3 SD and 50-500 ms.","SI Appendix pp. 7-8, Bayesian decoding / Detection of synchronous event / Detection of SWRs.",papers/16_Igata_2021.md
16,https://doi.org/10.1073/pnas.2011266118,Igata 2021,Sig. Thresh.,p<0.05,Trajectory p<0.05; sequential events abs(weighted correlation)>=0.5,"SI Appendix pp. 10-11, Sequence scores of sequential events / Trajectory events: these are distinct classifications.",papers/16_Igata_2021.md
18,https://doi.org/10.1016/j.neuron.2020.01.015,Kaefer 2020,Detection Notes,"Decoded all immobility in 256 ms windows
detected non-local activity
excluding trajectories under 20 cm/s
windows were adjusted for number of spikes or cells","Decoded all immobility / non-local positions detected in 256 ms windows / trajectory replay detected in windows with a fixed number of spikes, excluding decoded speeds under 20 cm/s / Replay windows contain a session-specific fixed number of spikes; 25.6 ms is the underlying sampling bin and is also used in a comparison analysis. Nonlocal position detection uses 256 ms windows. Secondary SWR analysis: 240 ms Fourier/RMS windows every 20 ms, peak 5 SD, bounds 1.5 SD.","Methods, Decoding Windows / Oscillation Analyses, PDF pp. 17-18.",papers/18_Kaefer_2020.md
18,https://doi.org/10.1016/j.neuron.2020.01.015,Kaefer 2020,SWR Z-score Thresh. (STD),#N/A,5,"Methods, Oscillation Analyses, PDF p. 18: separate SWR analysis, not the replay trigger.",papers/18_Kaefer_2020.md
18,https://doi.org/10.1016/j.neuron.2020.01.015,Kaefer 2020,SWR electrodes (#),#N/A,>1,"Methods, Oscillation Analyses, PDF p. 18: separate SWR analysis, not the replay trigger.",papers/18_Kaefer_2020.md
18,https://doi.org/10.1016/j.neuron.2020.01.015,Kaefer 2020,SWR Low Band (Hz),#N/A,150,"Methods, Oscillation Analyses, PDF p. 18: separate SWR analysis, not the replay trigger.",papers/18_Kaefer_2020.md
18,https://doi.org/10.1016/j.neuron.2020.01.015,Kaefer 2020,SWR High Band (Hz),#N/A,250,"Methods, Oscillation Analyses, PDF p. 18: separate SWR analysis, not the replay trigger.",papers/18_Kaefer_2020.md
18,https://doi.org/10.1016/j.neuron.2020.01.015,Kaefer 2020,Time bin (ms),25.6,Adaptive (25.6 ms base bins),"Kaefer 2020 Methods, Decoding Windows / Trajectory Score, PDF p. 17; Results PDF p. 5.",papers/18_Kaefer_2020.md
