row,column,previous,corrected,evidence
3,MUA smooth (ms),5,10,"Zenodo 10085294 / dbendor/Nat_Com_Huelin_Gorriz_et_al b0676a5: batch_analysis_folders.m, list_of_parameters.m, process_clusters.m and extract_CSC.m."
3,SWR smooth (ms),100,15,"Zenodo 10085294 / dbendor/Nat_Com_Huelin_Gorriz_et_al b0676a5: batch_analysis_folders.m, list_of_parameters.m, process_clusters.m and extract_CSC.m."
3,Decoding notes,,Whole-event replay must pass all three shuffle tests at p<0.05; a split half must pass all three at p<0.025. Shuffles are 1000 per method.,"Huelin Gorriz Methods, PDF p. 12; release b0676a5."
3,Shuffles (#),#N/A,1000,"Zenodo 10085294 / dbendor/Nat_Com_Huelin_Gorriz_et_al b0676a5: batch_analysis_folders.m, list_of_parameters.m, process_clusters.m and extract_CSC.m."
3,Sig. Thresh.,95th percentile (all three),Whole event p<0.05; split half p<0.025 (all three),"Huelin Gorriz Methods, PDF p. 12; release b0676a5."
6,Decoding notes,,Whole-event replay must pass all three shuffle tests at p<0.05; a split half must pass all three at p<0.025. Shuffles are 1000 per method.,"Tirole release 44ecf42, number_of_significant_replays.m."
6,Sig. Thresh.,95th percentile (all three),Whole event p<0.05; split half p<0.025 (all three),"Tirole release 44ecf42, number_of_significant_replays.m."
8,Decoding notes,,"Primary event criteria are abs(weighted correlation)>0.6 and maximum jump<0.4 of track length. Paper describes 20 ms windows both in 5 ms steps and without overlap; the reopened spike-density helper uses nonoverlapping 20 ms windows. The 5000 time shuffles test counts of qualifying events, not a p<0.05 test for each replay.","Berners-Lee 2022 Methods, PDF pp. 17-18; Zenodo 6330850 Publication release, decode_spikedensity_events.m."
8,Time bin step (ms),20,5 or 20,"Berners-Lee 2022 Methods, PDF pp. 17-18; Zenodo 6330850 Publication release, decode_spikedensity_events.m."
8,Shuffle Method,Time-bin shuffle,Time-bin shuffle (test of event counts),"Berners-Lee 2022 Methods, PDF pp. 17-18; Zenodo 6330850 Publication release, decode_spikedensity_events.m."
8,Sig. Thresh.,p<0.05,Criteria-based events; p<0.05 on counts,"Berners-Lee 2022 Methods, PDF pp. 17-18; Zenodo 6330850 Publication release, decode_spikedensity_events.m."
9,Reconst. Error bin (ms),#N/A,250,"Widloski 2022 Methods, PDF p. 19: behavioral decoding in 250 ms windows."
13,Detection Notes,"SWR / only SWRs with spikes on >= 2 tetrodes analyzed / MUA done as control (2 SD, >= 15 ms)","SWR / only SWRs with spikes on >= 2 tetrodes analyzed / MUA done as control (2 SD, >= 15 ms) / The original caller bins MUA at 500 Hz and calls multiunit_HSE_detector with z=2 and minimum duration 15 ms, without overriding the pinned package's Gaussian SD 15 ms.","replay_trajectory_paper f2d2b3c, src/load_data.py and environment.yml; pinned ripple_detection 0.1.8.dev0 / local 71298f0 detectors.py default smoothing_sigma=0.015."
13,MUA smooth (ms),Not reported,15,"replay_trajectory_paper f2d2b3c, src/load_data.py and environment.yml; pinned ripple_detection 0.1.8.dev0 / local 71298f0 detectors.py default smoothing_sigma=0.015."
14,Place field smooth (cm),5,Not reported,"Gillespie 2021 Methods, PDF p. 21; main Results median deviation less than one 5 cm spatial bin."
14,Decoding notes,,"5 cm is the position-bin width; the Methods give a 20 microvolt waveform KDE bandwidth but do not establish a 5 cm spatial kernel SD. A spatially continuous event crosses posterior 0.8; if both states cross, continuous must occupy more time bins. A maze segment must contain at least 30% mean posterior. Median error is <5 cm; quality is evaluated at video frames (30 Hz), using the 2 ms decoder.","Gillespie 2021 Methods, PDF p. 21; main Results median deviation less than one 5 cm spatial bin."
14,Reconst. Error (cm),5,<5 (median),"Gillespie 2021 Methods, PDF p. 21; main Results median deviation less than one 5 cm spatial bin."
14,Sig. Thresh.,#N/A,Continuous-state posterior >0.8; segment posterior >=0.30,"Gillespie 2021 Methods, PDF p. 21; main Results median deviation less than one 5 cm spatial bin."
15,Decoding notes,,"The <30 cm error entry is the 75th-percentile criterion used to select sessions, not a reported mean or median reconstruction error. Evaluated in 100 ms behavioral windows. Replay uses 500 pooled cross-event surrogates; a separate 500-surrogate direction-bias test also appears.","Michon 2021 Methods, PDF p. 18."
18,Time bin (ms),25.6,Adaptive (25.6 ms base bins),"Kaefer 2020 Methods, Decoding Windows / Trajectory Score, PDF p. 17; Results PDF p. 5."
18,Decoding notes,"Adapative bin sizes
No jumps (> 60 cm)
Absolute speed (>20 cm/s)","Adapative bin sizes
No jumps (> 60 cm)
Absolute speed (>20 cm/s) / 25.6 ms is the sampling grid, not the trajectory decoder window. Consecutive base bins are accumulated to a session-specific spike count; nonoverlapping spike windows are scored in overlapping groups of four. The separate non-local-position analysis uses 256 ms windows. The old approximate 45% entry corresponds to the opposite conditional fraction: Figure 4D plots the percentage of trajectory replays coinciding with an SWR (roughly 45-50% for hippocampus). It does not give the fraction of candidate events decoded as replay.","Kaefer 2020 Methods, Decoding Windows / Trajectory Score, PDF p. 17; Results PDF p. 5. Kaefer 2020 Figure 4D, combined PDF p. 7, visually checked: proportion of trajectory replay events co-occurring with SWRs."
18,% Decoded,~45%,Not reported,"Kaefer 2020 Figure 4D, combined PDF p. 7, visually checked: proportion of trajectory replay events co-occurring with SWRs."
18,Time bin step (ms),25.6,Adaptive; nonoverlapping,"Kaefer 2020 Methods, Decoding Windows / Trajectory Score, PDF p. 17; Results PDF p. 5."
19,Detection Notes,"MUA and SWR / replay: >= 5 place cells within 300 ms after > 60 ms of silence, coinciding with an SWR / SWR bounds extended to 1 STD / SWR smoothing is a 50 ms boxcar","SWR and MUA: replay candidates require >=5 place cells from a given block within a 300 ms window after >60 ms silence and at least one coincident SWR. SWRs use power from one channel each on two tetrodes, 100-250 Hz, a 50 ms boxcar, peak >3 SD and bounds at 1 SD; exclude durations <=20 ms, merge inter-ripple intervals <=100 ms, then require spikes from >=5 place cells from any block of the session. No detection-speed threshold is stated; 4 cm/s is a tuning-curve exclusion. The 300 ms replay search window is distinct from an SWR maximum duration, which is not reported. SI Appendix pp. 4-6 verified directly.","Published SI Appendix pnas.1912533117.sapp.pdf, pp. 4-6: separate SWR detection/participation and replay candidate rules; template-speed exclusion is not a detection cutoff."
19,Trajectory,Weighted correlation,Linear regression of posterior-mode positions (R^2 significance); weighted correlation (strength/direction),"Published SI Appendix pnas.1912533117.sapp.pdf, p. 5: linear regression of posterior-mode positions for R^2 significance; p. 6: weighted correlation for replay strength and direction."
19,Decoding notes,,"Published SI Appendix pp. 5-6: replay decoding uses 20 ms windows with a 10 ms step; behavioral reconstruction uses 50 ms windows. Templates use 2 cm spatial bins, Gaussian SD 6 cm and exclude speed <4 cm/s. Fit decoded posterior-mode positions against time-bin number, then compare R^2 with 1000 circular shifts of the decoded-position sequence; p is the fraction of shuffled R^2 values exceeding the observed value, significant at p<0.05. Weighted correlation measures strength/direction and includes only posterior bins >0.01. Exclude session sets with median absolute reconstruction error >20 cm (3 of 28); analyzed-session error is 6.56 +/- 0.46 cm (mean +/- SEM). Table S1 (p. 21) confirms 1342 replays / 2573 candidates = 52.2% rounded. The earlier audit incorrectly treated the 50 ms behavioral window as the replay window; the original 20 ms replay entry is restored.","Published SI Appendix pnas.1912533117.sapp.pdf, pp. 5-6, Replay events / Neural decoding of spatial position / Weighted correlation; Table S1 p. 21 visually checked. Corrects earlier behavioral/replay-window confusion."
19,% Decoded,52%,52.2%,"Published SI Appendix pnas.1912533117.sapp.pdf, p. 5: 1342 significant events, 52.2% of candidates; Table S1 p. 21 totals 1342 replays and 2573 candidates."
19,Time bin step (ms),#N/A,10,"Published SI Appendix pnas.1912533117.sapp.pdf, p. 5, final paragraph explicitly specifies a 10 ms step for 20 ms replay windows."
19,Shuffle Method,Permutation test (type not stated),Circular shift of decoded positions in time; recompute linear-regression R^2,"Published SI Appendix pnas.1912533117.sapp.pdf, p. 5, Replay events: 1000 random circular time shifts of decoded positions, recompute linear-regression R^2, p<0.05."
19,Shuffles (#),#N/A,1000,"Published SI Appendix pnas.1912533117.sapp.pdf, p. 5, Replay events: 1000 random circular time shifts of decoded positions, recompute linear-regression R^2, p<0.05."
19,Sig. Thresh.,#N/A,p<0.05,"Published SI Appendix pnas.1912533117.sapp.pdf, p. 5, Replay events: 1000 random circular time shifts of decoded positions, recompute linear-regression R^2, p<0.05."
19,Reconst. Error bin (ms),#N/A,50,"Published SI Appendix pnas.1912533117.sapp.pdf, p. 5, Neural decoding of spatial position: 50 ms behavioral reconstruction windows, distinct from 20 ms replay windows."
20,Decoding notes,Adaptive time bin size (# spikes),"Adaptive time bin size (# spikes) / The paper uses two nonoverlapping window schemes: fixed 8 ms and adaptive 15-spike windows. Spatial width 20 cm is the Gaussian basis-function parameter r in exp(-distance^2/r^2), not a smoothing-kernel SD. Selection requires mean maximum posterior >0.1; surrogate analyses have several purposes and no single common count is given in the Methods. / Figure S2 reports errors for one representative session across several fixed-time and fixed-spike windows; the approximate 8-11 cm range is read from that figure, not a pooled reported error.","Stella 2019 Methods, PDF pp. 16-17. Stella 2019 Figure S2, combined PDF p. 23, visually checked: approximately 8-11 cm across tested windows in one representative session."
20,Reconst. Error (cm),~9 cm (Figure S2),~8-11 (Figure S2; one session),"Stella 2019 Figure S2, combined PDF p. 23, visually checked: approximately 8-11 cm across tested windows in one representative session."
20,Shuffles (#),#N/A,Not reported,"Stella 2019 Methods, Shuffling Procedures: no single count covering these different analyses."
20,Reconst. Error bin (ms),#N/A,Varied (Figure S2),"Stella 2019 Figure S2, combined PDF p. 23, visually checked: approximately 8-11 cm across tested windows in one representative session."
21,Place field smooth (cm),6,3 (inferred 1D); 6 (2D),"Xu 2019 Methods, PDF p. 17: 2 cm 2D bins and sigma 3 bins; 1D bins are 1 cm with a similar procedure."
21,Decoding notes,"Custom optimization procedure
Jump-constrained best path (<=20 bins per step)","Custom optimization procedure
Jump-constrained best path (<=20 bins per step) / Spatial smoothing is explicitly 3 bins on 2 cm 2D maps (6 cm). Applying the stated similar procedure to the 1 cm linearized maps implies 3 cm; the 1D kernel is not independently specified.","Xu 2019 Methods, PDF p. 17: 2 cm 2D bins and sigma 3 bins; 1D bins are 1 cm with a similar procedure."
22,Decoding notes,,Positive and negative sequences use opposite shuffle tails (>97.5th or <2.5th percentile). Bayesian trajectory-count tests are distinct from per-frame template/correlation significance. / The approximate 10% replay fraction is a visual estimate from Figure 2B for post-run sleep; the pre-run proportion is lower.,"Farooq 2019 Neuron Methods, PDF pp. 19-21; Science supplementary Methods, PDF pp. 14-16. Farooq 2019 Neuron Figure 2B, PDF p. 5, visually checked."
22,Sig. Thresh.,97.5th percentile,>97.5th or <2.5th percentile; count tests separate,"Farooq 2019 Neuron Methods, PDF pp. 19-21; Science supplementary Methods, PDF pp. 14-16."
23,Decoding notes,,Sequential frames additionally span >15% of track length; stationary frames use >95th-percentile confidence and <5% extent. The approximate 5 cm error is not one verified summary across all developmental ages.,"Farooq 2019 Neuron Methods, PDF pp. 19-21; Science supplementary Methods, PDF pp. 14-16."
23,Reconst. Error (cm),~5 cm,~5 cm (not verified across ages),Farooq Science Figure S2 gives age-specific confusion matrices; no common 5 cm error summary was verified.
23,Sig. Thresh.,97.5th percentile,Sequential: >97.5th or <2.5th percentile; stationary: >95th,"Farooq 2019 Neuron Methods, PDF pp. 19-21; Science supplementary Methods, PDF pp. 14-16."
23,Reconst. Error bin (ms),#N/A,500,"Farooq 2019 Science supplementary Methods, Bayesian decoding during behavior, 500 ms."
25,Reconst. Error bin (ms),#N/A,100,"Michon 2019 Methods, PDF p. 14: held-out behavioral decoding with 100 ms bins."
27,Decoding notes,, / The approximate 40% replay fraction summarizes the session means in Figure S5E; individual animals and sessions vary.,"Shin 2019 Figure S5E, PDF p. 35, visually checked."
29,Decoding notes,," / The <10 cm median reconstruction error is an ensemble-inclusion criterion, not the mean error achieved across all ensembles.","Muessig 2019 Methods, PDF p. 11: ensemble inclusion requires median behavioral decoding error <10 cm in 300 ms windows."
30,Decoding notes,,"Each event is compared with 5000 independently circular-shifted posterior-column surrogates. The 20 ms windows are nonoverlapping; the published 4.5 cm place-field kernel is described as a width, without identifying it as SD.","Drieu 2018 author PDF including supplementary Methods, pp. 13-14."
30,Shuffle Method,#N/A,Per-column circular shift of position,"Drieu 2018 author PDF including supplementary Methods, pp. 13-14."
30,Shuffles (#),#N/A,5000,"Drieu 2018 author PDF including supplementary Methods, pp. 13-14."
30,Sig. Thresh.,#N/A,p<=0.05,"Drieu 2018 author PDF including supplementary Methods, pp. 13-14."
31,Decoding,Bayes,HMM; Bayes (comparison),"Maboudi 2018 Methods, PDF pp. 18-19 and Results p. 7."
31,Trajectory,Radon transform,HMM sequence likelihood; Bayesian line fit,"Maboudi 2018 Methods, PDF pp. 18-19 and Results p. 7."
31,Decoding notes,#N/A,"Both HMM model-congruence and Bayesian replay scores use 5000 surrogates per event. HMM shuffle permutes off-diagonal transitions within rows; Bayesian shuffle circularly shifts each posterior column. Significance thresholds are varied for ROC analyses; the pooled Bayesian comparison uses 99%, with HMM threshold adjusted to match its event fraction. Temporal/time-swap/Poisson surrogates in the earlier entry were model-training controls.","Maboudi 2018 Methods, PDF pp. 18-19 and Results p. 7."
31,Shuffle Method,Temporal shuffle (per-neuron circular permutation); time-swap; Poisson surrogate,HMM off-diagonal transition shuffle; Bayesian posterior column-cycle,"Maboudi 2018 Methods, PDF pp. 18-19 and Results p. 7."
31,Shuffles (#),#N/A,5000,"Maboudi 2018 Methods, PDF pp. 18-19 and Results p. 7."
31,Sig. Thresh.,#N/A,Varied; Bayesian comparison 99th percentile,"Maboudi 2018 Methods, PDF pp. 18-19 and Results p. 7."
34,Time bin step (ms),#N/A,Not reported,"Yamamoto 2017 Methods, PDF p. 16: 10 ms bins; step not stated."
34,Sig. Thresh.,#N/A,Not reported,"Yamamoto 2017 Methods, PDF p. 16: 2000 column shuffles, but no numerical replay p-value cutoff stated."
35,Decoding notes,," / Percentages are derived from the published condition-specific counts: 167/397 awake, 147/455 post-task sleep and 116/451 pre-task sleep candidates.","Tang 2017 Results, PDF p. 11: 167/397 awake, 147/455 post-task sleep, 116/451 pre-task sleep."
35,% Decoded,~40%,42.1% awake; 32.3% post-sleep; 25.7% pre-sleep,"Tang 2017 Results, PDF p. 11: 167/397 awake, 147/455 post-task sleep, 116/451 pre-task sleep."
37,Decoding notes,weighted correlation (>0.6),"Primary replay criterion is weighted correlation >0.6; verification uses a stricter 0.7 threshold or 1500 posterior shuffles with p<0.05 (main Methods and supplementary Tables S2-S3). Supplement Table S1 gives 738/3312 replays/SWRs in experiment 1, 409/2636 in experiment 2, and 1147/5948 pooled (19.3%). Behavioral bins with error <10 cm range from 74-95% for bidirectional and 74-96% for directional decoding; these are accuracy fractions, not a pooled mean reconstruction error. The full supplement gives no detector-duration limit.",Ambrose 2016 main Methods p. 12; publisher supplement Table S1 p. 9 and Tables S2-S3 pp. 10-11. Full 12-page supplement checked; no detector-duration criterion.
37,% Decoded,15-20%,19.3% pooled (22.3% experiment 1; 15.5% experiment 2),"Ambrose 2016 publisher supplement, Table S1 p. 9: sum of listed counts, 738/3312 and 409/2636; pooled 1147/5948 = 19.2838%."
37,Sig. Thresh.,weighted correlation >0.6 (p<0.05 in verification),weighted correlation >0.6 (primary); >0.7 or p<0.05 (verification),Ambrose 2016 main Methods p. 12 and publisher supplement Tables S2-S3 pp. 10-11: primary correlation >0.6; verification threshold 0.7 or 1500-shuffle p<0.05.
37,% Decoded denom.,SWRs,SWRs (5948 total; Table S1),"Ambrose 2016 publisher supplement, Table S1 p. 9: SWR counts sum to 3312 + 2636 = 5948."
37,Reconst. Error bin (ms),#N/A,200,"Ambrose 2016 Methods, PDF p. 12: nonoverlapping 200 ms behavioral windows."
39,Time bin (ms),#N/A,10,"Olafsdottir 2016 Methods, PDF pp. 4-5; publisher Supplementary Software, lineTraj_decode.m takes time/spatial bin arguments."
39,Decoding notes,Exhaustive line-fit search over velocity and intercept,"Exhaustive line-fit search over velocity and intercept / Methods: 10 ms replay bins, 100 independent place-field rotations and p<0.2 for the main analysis; strongest replay subset uses p<0.025. Mean behavioral reconstruction error is 20 cm with 500 ms bins. Fraction 41.7% is derived from 1826/4382 putative events. Nonoverlapping steps are inferred from binning; released fitting functions take bin size as an argument and do not supply a detector caller.","Olafsdottir 2016 Methods, PDF pp. 4-5; publisher Supplementary Software, lineTraj_decode.m takes time/spatial bin arguments."
39,Reconst. Error (cm),#N/A,20 (mean),"Olafsdottir 2016 Methods, PDF pp. 4-5; publisher Supplementary Software, lineTraj_decode.m takes time/spatial bin arguments."
39,% Decoded,#N/A,41.7%,"Olafsdottir 2016 Methods, PDF pp. 4-5; publisher Supplementary Software, lineTraj_decode.m takes time/spatial bin arguments."
39,Time bin step (ms),#N/A,10 (inferred nonoverlapping),"Olafsdottir 2016 Methods, PDF pp. 4-5; publisher Supplementary Software, lineTraj_decode.m takes time/spatial bin arguments."
39,Shuffle Method,Place cell-ID shuffle,Independent place-field rotation,"Olafsdottir 2016 Methods, PDF pp. 4-5; publisher Supplementary Software, lineTraj_decode.m takes time/spatial bin arguments."
39,Shuffles (#),#N/A,100,"Olafsdottir 2016 Methods, PDF pp. 4-5; publisher Supplementary Software, lineTraj_decode.m takes time/spatial bin arguments."
39,% Decoded denom.,#N/A,putative events,"Olafsdottir 2016 Methods, PDF pp. 4-5; publisher Supplementary Software, lineTraj_decode.m takes time/spatial bin arguments."
39,Reconst. Error bin (ms),#N/A,500,"Olafsdottir 2016 Methods, PDF pp. 4-5; publisher Supplementary Software, lineTraj_decode.m takes time/spatial bin arguments."
40,Decoding notes,,"Trajectory events are selected by weighted-correlation and maximum-jump criteria; 5000 posterior column-cycle shuffles test the number of qualifying events. The p<0.05 result is an aggregate count test, not a per-event selection threshold.","Silva 2015 Methods, PDF p. 10."
40,Shuffle Method,Column-cycle shuffle; Poisson simulation; time swap,Column-cycle (event-count test); Poisson and time-swap controls,"Silva 2015 Methods, PDF p. 10."
40,Sig. Thresh.,p<0.05,Criteria-based events; p<0.05 on counts,"Silva 2015 Methods, PDF p. 10."
43,Position bin (cm),1.8,1.8-1.9,"Wu 2014 Methods, PDF p. 2: spatial bins 1.8-1.9 cm and Gaussian SD 5 bins."
43,Place field smooth (cm),9,9-9.5,"Wu 2014 Methods, PDF p. 2: spatial bins 1.8-1.9 cm and Gaussian SD 5 bins."
44,Decoding notes,Only time steps with 1 spike included,Only time steps with at least 1 spike included,"Wikenheiser 2013 Methods, PDF p. 4."
45,Sig. Thresh.,#N/A,Criteria-based events; all p<0.02 under both shuffles in verification,"Pfeiffer 2013 Methods, PDF p. 8: 5000 cell-ID and place-field-shift shuffles verify the selected trajectory events."
47,Time bin step (ms),#N/A,Not reported,"Bendor 2012 Methods, PDF p. 7: 10 ms replay bins without explicit step."
48,Time bin (ms),10,40-600 (adaptive sequence window),"Gupta 2010 supplementary Experimental Procedures, combined PDF pp. 21-23."
48,Decoding notes,,The custom sequence detector scans in 10 ms steps using flexible 40-600 ms windows. A 10 ms scan step is not a 10 ms Bayesian decoding window; the supplementary Bayesian control does not specify its own numerical window here.,"Gupta 2010 supplementary Experimental Procedures, combined PDF pp. 21-23."
52,Detection Notes,"MUA / spike count threshold determined empirically from distribution / events were merged if smaller than frame gap threshold / Separate ripple detector uses rectified 80-250 Hz voltage, bounds 3 x SD, peak 7 x SD, grouping gaps <50 ms. Frame merging exists; the prior supplementary-figure transcription gives hippocampal gaps 70-90 ms, which has not been reverified in this audit.","MUA / spike count threshold determined empirically from distribution / events were merged if smaller than frame gap threshold / Separate ripple detector uses rectified 80-250 Hz voltage, bounds 3 x SD, peak 7 x SD, grouping gaps <50 ms. Frame merging uses per-animal hippocampal gaps of 70-90 ms. / Supplementary Fig. 12 independently retrieved: hippocampal interframe gaps are 90, 70, 90 and 80 ms for animals 1-4; cortical gaps differ. This closes the earlier retrieval gap.","Ji 2007 Supplementary Figure 12, caption p. 2; publisher 41593_2007_BFnn1825_MOESM12_ESM.pdf. Removed superseded uncertainty after retrieving Supplementary Fig. 12."
52,Combine Events Thresh. (ms),70-90 (prior audit; not reverified),70-90,"Ji 2007 Supplementary Figure 12, caption p. 2; publisher 41593_2007_BFnn1825_MOESM12_ESM.pdf."
55,Detection Notes,SWR / Template matching searches spike trains directly; ripple parameters describe separate EEG/participation analyses and do not gate sequence discovery. Ripple channel count remains unverified.,"SWR / Template matching searches spike trains directly; ripple parameters describe separate EEG/participation analyses and do not gate sequence discovery. / Cited Csicsvari 1999a Methods independently reopened: 150-250 Hz filtered RMS is computed per electrode and summed across electrodes, then compared with 7 SD. The RMS window is not specified. This verifies multi-electrode aggregation and supersedes the earlier channel-count uncertainty.","Csicsvari et al. 1999a, J Neurosci 19:274, Methods, Detection of SPWs and classification of the electrographic activity (PMC6782375); Nadasdy 1999 Methods/Results. Removed superseded uncertainty after reopening Csicsvari 1999a Methods."
55,SWR electrodes (#),#N/A,>1,"Csicsvari et al. 1999a, J Neurosci 19:274, Methods, Detection of SPWs and classification of the electrographic activity (PMC6782375); Nadasdy 1999 Methods/Results."
55,Time bin (ms),10,"5, 6.7, 10 (analysis variants)","Csicsvari et al. 1999a, J Neurosci 19:274, Methods, Detection of SPWs and classification of the electrographic activity (PMC6782375); Nadasdy 1999 Methods/Results."
55,Decoding notes,,"Template/sequence analysis uses multiple resolutions (5, 6.7 and 10 ms); 10 ms is not a universal Bayesian decoding window. Methods describe p<0.01; Figure 6 describes p<=0.01 against 100 surrogates.","Csicsvari et al. 1999a, J Neurosci 19:274, Methods, Detection of SPWs and classification of the electrographic activity (PMC6782375); Nadasdy 1999 Methods/Results."
55,Sig. Thresh.,p<0.01,p<0.01 (Methods); p<=0.01 (Fig. 6),"Csicsvari et al. 1999a, J Neurosci 19:274, Methods, Detection of SPWs and classification of the electrographic activity (PMC6782375); Nadasdy 1999 Methods/Results. Methods use strict p<0.01; Figure 6 caption uses p<=0.01."
