First Author,Last Author,Year,DOI,Journal,Species,Detection,Detection Notes,MUA Z-score Thresh. (STD),SWR Z-score Thresh. (STD),Animal Speed (cm/s),MUA smooth (ms),SWR smooth (ms),Min. Cells (#),SWR electrodes (#),SWR Low Band (Hz),SWR High Band (Hz),Min. Duration (ms),Max Duration (ms),Combine Events Thresh. (ms),Decoding,Time bin (ms),Position bin (cm),Place field smooth (cm),Trajectory,Decoding notes,Reconst. Error (cm),% Decoded,Spike sorting,Time bin step (ms),Shuffle Method,Shuffles (#),Sig. Thresh.,% Decoded denom.,Reconst. Error bin (ms)
Krause,Drugowitsch,2022,https://doi.org/10.1016/j.neuron.2021.11.014,Neuron,Rats,"SWR, MUA",MUA and SWR / >2 sp./s / Published MUA control uses Gaussian SD 20 ms; subsequent SWR trimming uses >2 spikes/s/cell in 3 ms bins and retains trimmed events >=30 ms. The 50 ms minimum in the column is the original SWR criterion. / MUA smoothing column follows the released implementation: 10 ms SD; the text reports 20 ms.,3,3,5,10,12.5,#N/A,>1,150,250,50,2000,#N/A,State Space,3,4,4,Viterbi,,Not reported,89.7%,Sorted,3,none (Bayesian model comparison),#N/A,#N/A,SWRs,#N/A
Mou,Ji,2022,https://doi.org/10.1016/j.neuron.2021.12.005,Neuron,Rats,MUA,"Normalized MUA to 1 and used 0.35 as a threshold, extend to 0.15",#N/A,#N/A,#N/A,20,#N/A,4,#N/A,#N/A,#N/A,#N/A,#N/A,30,Bayes,20,2,4,Linear regression,Only used non-empty time bins,#N/A,#N/A,Sorted,10,Time-bin shuffle; cell-ID shuffle (for counts),1000,p<0.05,#N/A,#N/A
Berners-Lee,Foster,2021,https://doi.org/10.1523/JNEUROSCI.1158-20.2021,Journal of Neuroscience,Rats,SWR,SWR,#N/A,2,5,#N/A,12.5,#N/A,3,150,250,50,2000,#N/A,Bayes,20,2,6,MAP,"demarcate events based on:
length of subregion in time (>50 ms)
arm coverage (>50% of the arm)
 weighted correlation (abs. value > .3)",Not reported,Not reported,Sorted,5,"none (MAP, duration, coverage and weighted-correlation criteria)",#N/A,#N/A,#N/A,#N/A
Denovellis,Frank,2021,https://doi.org/10.7554/eLife.64505,eLife,Rats,SWR,"SWR / only SWRs with spikes on >= 2 tetrodes analyzed / MUA done as control (2 SD, >= 15 ms) / The original caller bins MUA at 500 Hz and calls multiunit_HSE_detector with z=2 and minimum duration 15 ms, without overriding the pinned package's Gaussian SD 15 ms.",2,2,4,15,4,#N/A,>1,150,250,15,#N/A,#N/A,State Space,2,3,6,MAP,,7,Not reported,Clusterless,2,none per event (posterior threshold),#N/A,posterior probability >0.80,#N/A,2
Gillespie,Frank,2021,https://doi.org/10.1016/j.neuron.2021.07.029,Neuron,Rats,SWR,"SWR / MUA done as control (3 SD, 15 ms Gaussian smoothing)",3,2,4,15,4,#N/A,>1,150,250,15,#N/A,#N/A,State Space,2,5,Not reported,MAP,"5 cm is the position-bin width; the Methods give a 20 microvolt waveform KDE bandwidth but do not establish a 5 cm spatial kernel SD. A spatially continuous event crosses posterior 0.8; if both states cross, continuous must occupy more time bins. A maze segment must contain at least 30% mean posterior. Median error is <5 cm; quality is evaluated at video frames (30 Hz), using the 2 ms decoder.",<5 (median),Not reported,Clusterless,2,none,#N/A,Continuous-state posterior >0.8; segment posterior >=0.30,#N/A,2
Michon,Kloosterman,2021,https://doi.org/10.1016/j.cub.2021.07.058,Current Biology,Rats,"SWR, MUA","MUA/SWR detrended with median filter
extended to 0.5",4,8,5,15,15,#N/A,1-3,140,225,80,#N/A,20,Bayes,10,4,5,Weighted isotonic regression,"The <30 cm error entry is the 75th-percentile criterion used to select sessions, not a reported mean or median reconstruction error. Evaluated in 100 ms behavioral windows. Replay uses 500 pooled cross-event surrogates; a separate 500-surrogate direction-bias test also appears.",<30,Not reported,Clusterless,10,Pooled cross-event shuffle,500,p<0.05,#N/A,100
Igata,Sasaki,2021,https://doi.org/10.1073/pnas.2011266118,PNAS,Rats,"SWR, MUA","MUA and SWR / Mahalanobis distance used for overall ripple power / GMM used for ripple power / Supplement verified: MUA peak >2 SD, >4 cells, Gaussian SD 15 ms, 50-2000 ms; ripple envelopes use 150-250 Hz and Gaussian SD 4 ms, then Mahalanobis power and GMM selection. A separate SWR detector uses peak 3 SD and 50-500 ms.",2,Adaptive,5,15,4,>4,>1,150,250,50,2000,#N/A,Bayes,20,2,5,MAP,"demarcate events based on:
MAP distance (<40 cm)
Trajectory length (>20 cm)",Not reported,Not reported,Sorted,10,Place-field shift,1000,Trajectory p<0.05; sequential events abs(weighted correlation)>=0.5,#N/A,#N/A
Gridchyn,Csicsvari,2020,https://doi.org/10.1016/j.neuron.2020.01.021,Neuron,Rats,MUA,"MUA
threshold is 3.5x the baseline mean spike count, not a SD multiple
adaptively adjusted to ~1 event/s; 150 ms detection refractory",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Bayes,20,6,10,MAP,Real-time,Not reported,Not reported,Clusterless,20,none (adaptive decoding-confidence threshold),#N/A,#N/A,#N/A,#N/A
Kaefer,Csicsvari,2020,https://doi.org/10.1016/j.neuron.2020.01.015,Neuron,Rats,Decoding,"Decoded all immobility / non-local positions detected in 256 ms windows / trajectory replay detected in windows with a fixed number of spikes, excluding decoded speeds under 20 cm/s / Replay windows contain a session-specific fixed number of spikes; 25.6 ms is the underlying sampling bin and is also used in a comparison analysis. Nonlocal position detection uses 256 ms windows. Secondary SWR analysis: 240 ms Fourier/RMS windows every 20 ms, peak 5 SD, bounds 1.5 SD.",#N/A,5,5,#N/A,#N/A,#N/A,>1,150,250,#N/A,#N/A,#N/A,Bayes,Adaptive (25.6 ms base bins),10,10,"MAP, Radon transform","Adaptive bin sizes
No jumps (> 60 cm)
Absolute speed (>20 cm/s) / 25.6 ms is the sampling grid, not the trajectory decoder window. Consecutive base bins are accumulated to a session-specific spike count; nonoverlapping spike windows are scored in overlapping groups of four. The separate non-local-position analysis uses 256 ms windows. Figure 4D plots the percentage of trajectory replays coinciding with an SWR (roughly 45-50% for hippocampus). It does not give the fraction of candidate events decoded as replay.",Not reported,Not reported,Sorted,Adaptive; nonoverlapping,Place-field rotation; cell-ID shuffle,200,95th percentile,#N/A,#N/A
Bhattarai,Jung,2020,https://doi.org/10.1073/pnas.1912533117,PNAS,Rats,"SWR, MUA","SWR and MUA: replay candidates require >=5 place cells from a given block within a 300 ms window after >60 ms silence and at least one coincident SWR. SWRs use power from one channel each on two tetrodes, 100-250 Hz, a 50 ms boxcar, peak >3 SD and bounds at 1 SD; exclude durations <=20 ms, merge inter-ripple intervals <=100 ms, then require spikes from >=5 place cells from any block of the session. No detection-speed threshold is stated; 4 cm/s is a tuning-curve exclusion. The 300 ms replay search window is distinct from an SWR maximum duration, which is not reported. SI Appendix pp. 4-6 verified directly.",#N/A,3,#N/A,#N/A,50,5,2,100,250,20,#N/A,100,Bayes,20,2,6,Linear regression of posterior-mode positions (R^2 significance); weighted correlation (strength/direction),"Published SI Appendix pp. 5-6: replay decoding uses 20 ms windows with a 10 ms step; behavioral reconstruction uses 50 ms windows. Templates use 2 cm spatial bins, Gaussian SD 6 cm and exclude speed <4 cm/s. Fit decoded posterior-mode positions against time-bin number, then compare R^2 with 1000 circular shifts of the decoded-position sequence; p is the fraction of shuffled R^2 values exceeding the observed value, significant at p<0.05. Weighted correlation measures strength/direction and includes only posterior bins >0.01. Exclude session sets with median absolute reconstruction error >20 cm (3 of 28); analyzed-session error is 6.56 +/- 0.46 cm (mean +/- SEM). Table S1 (p. 21) confirms 1342 replays / 2573 candidates = 52.2% rounded.",6.56,52.2%,Sorted,10,Circular shift of decoded positions in time; recompute linear-regression R^2,1000,p<0.05,candidate events,50
Stella,Csicsvari,2019,https://doi.org/10.1016/j.neuron.2019.01.052,Neuron,Rats,SWR,"SWR / Morlet-wavelet RMS power in 150-250 Hz, z-scored per electrode, maximum across CA1 electrodes / bounds at 2 SD / REM excluded by theta/delta ratio / Place-field width 20 cm is the fitted Gaussian basis parameter r in exp(-distance^2/r^2), not a Gaussian standard deviation. Temporal bins are either 8 ms or 15 spikes; >=5 decoded windows is an analysis inclusion rule.",#N/A,5,#N/A,#N/A,#N/A,#N/A,>1,150,250,#N/A,#N/A,#N/A,Bayes,8,4,20,MAP,"Adaptive time bin size (# spikes) / The paper uses two nonoverlapping window schemes: fixed 8 ms and adaptive 15-spike windows. Spatial width 20 cm is the Gaussian basis-function parameter r in exp(-distance^2/r^2), not a smoothing-kernel SD. Selection requires mean maximum posterior >0.1; surrogate analyses have several purposes and no single common count is given in the Methods. / Figure S2 reports errors for one representative session across several fixed-time and fixed-spike windows; the approximate 8-11 cm range is read from that figure, not a pooled reported error.",~8-11 (Figure S2; one session),Not reported,Sorted,8,Cell-ID reassignment; place-field rotation; spike jittering,Not reported,Decoding-confidence threshold 0.1,#N/A,Varied (Figure S2)
Xu,Csicsvari,2019,https://doi.org/10.1016/j.neuron.2018.11.015,Neuron,Rats,MUA,MUA,3,#N/A,#N/A,15,#N/A,4,#N/A,#N/A,#N/A,75,750,#N/A,Bayes,20,1,3 (inferred 1D); 6 (2D),MAP,"Custom optimization procedure
Jump-constrained best path (<=20 bins per step) / Spatial smoothing is explicitly 3 bins on 2 cm 2D maps (6 cm). Applying the stated similar procedure to the 1 cm linearized maps implies 3 cm; the 1D kernel is not independently specified.",Not reported,Not reported,Sorted,10,Place-field rotation,100,none (z-score vs shuffles),#N/A,#N/A
Farooq,Dragoi,2019,https://doi.org/10.1016/j.neuron.2019.05.040,Neuron,Rats,MUA,MUA / frames containing a 175-225 Hz ripple used as a control subset / SWS: speed < 1 cm/s for >= 5 min and theta/delta ratio < 2,2,Not reported,1,15,#N/A,5,Not reported,175,225,100,800,#N/A,Bayes,20,1,5,"Weighted correlation, Radon transform",Positive and negative sequences use opposite shuffle tails (>97.5th or <2.5th percentile). Bayesian trajectory-count tests are distinct from per-frame template/correlation significance. / The approximate 10% replay fraction is a visual estimate from Figure 2B for post-run sleep; the pre-run proportion is lower.,7.6,~10%,Sorted,20,Time-bin shuffle; rate-matched Poisson surrogate; weighted circular-shift space-bin shuffle,500,>97.5th or <2.5th percentile; count tests separate,MUA frames,250
Farooq,Dragoi,2019,https://doi.org/10.1126/science.aav0502,Science,Rats,MUA,"MUA / theta/delta ratio / SWS speed <2 cm/s; awake-rest frames use <1 cm/s. Ripple fields describe a separate developmental characterization (140-250 Hz, 3 SD), not a gate on frames.",2,3,2,15,#N/A,5,#N/A,140,250,100,800,#N/A,Bayes,20,1,5,Weighted correlation,Sequential frames additionally span >15% of track length; stationary frames use >95th-percentile confidence and <5% extent. The approximate 5 cm error is not one verified summary across all developmental ages.,~5 cm (not verified across ages),Not reported,Sorted,#N/A,Time-bin shuffle; rate-matched Poisson surrogate; circular space-bin shuffle (stationary frames),500,Sequential: >97.5th or <2.5th percentile; stationary: >95th,#N/A,500
Chenani,Leibold,2019,https://doi.org/10.1038/s41467-019-09280-0,Nature Communications,Rats,MUA,"Place cell rate peak reached 3 SD, boundaries where it fell below 1 SD, and 5 or more active cells / Reward zones defined by visual judgment of the speed distribution / Ripple columns describe the separate HFE analysis: 100-250 Hz Hilbert amplitude, Gaussian SD 12 ms, peak 3 SD and bounds 1 SD, followed by spectral clustering. Sequence analysis uses MUA bursts.",3,3,#N/A,30,12,5,#N/A,100,250,#N/A,#N/A,#N/A,Rank order correlation,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,Sorted,#N/A,Cell-ID shuffle,100,95th percentile,#N/A,#N/A
Michon,Kloosterman,2019,https://doi.org/10.1016/j.cub.2019.03.048,Current Biology,Rats,"SWR, MUA",MUA burst overlapping a ripple event,4,8,5,15,15,#N/A,1-3,140,225,80,#N/A,20,Bayes,10,4,5,Weighted isotonic regression,Real-time,Not reported,3.2-15.5%,Clusterless,10,Pooled cross-event shuffle,500,alpha=0.01,SWR bursts,100
Liu,Dragoi,2019,https://doi.org/10.1002/hipo.23034,Hippocampus,Rats,MUA,MUA / preceded and followed by 100 ms of silence / theta/delta ratio / SWR control / awake rest frames use < 2 cm/s,#N/A,#N/A,1,#N/A,#N/A,4,#N/A,#N/A,#N/A,80,1200,#N/A,Rank order correlation,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,Sorted,#N/A,Cell-ID shuffle,1000,#N/A,#N/A,#N/A
Shin,Jadhav,2019,https://doi.org/10.1016/j.neuron.2019.09.012,Neuron,Rats,SWR,SWR,#N/A,3,4,#N/A,#N/A,5,>1,150,250,50,#N/A,#N/A,Bayes,10,2,4,Linear regression, / The approximate 40% replay fraction summarizes the session means in Figure S5E; individual animals and sessions vary.,3.81 cm,~40%,Sorted,10,Time-bin shuffle,1500,p<0.05,candidate events,500
Carey,van der Meer,2019,https://doi.org/10.1038/s41593-019-0464-6,Nature Neuroscience,Rats,"SWR, MUA",MUA and SWR / Adaptive thresholding of MUA / LFP score is the dot product with a noise-corrected SWR spectrum (60 ms window) / joint score thresholded at 4 / theta power no more than 2 SD above the mean,#N/A,#N/A,4,20,60,5,1,Not reported,Not reported,20,#N/A,#N/A,Bayes,25,3,3,MAP,,Not reported,Not reported,Sorted,5,Cell-ID shuffle,500,shuffle-sequence proportion <=0.05,#N/A,#N/A
Muessig,Wills,2019,https://doi.org/10.1016/j.cub.2019.01.005,Current Biology,Rats,"SWR, MUA","MUA and SWR / MUA bursts kept only if they overlap an SWR / theta/delta ratio / SWR threshold is the 99th percentile of RMS power (about 4 SD per the authors) / SWR = fixed 100 ms window around the peak, single highest-SD tetrode / RUN-trial events use < 1 cm/s",3,4,2.5,10,7,#N/A,1,100,250,100,750,#N/A,Bayes,20,2.5,5,Radon transform," / The <10 cm median reconstruction error is an ensemble-inclusion criterion, not the mean error achieved across all ensembles.",<10 cm median,Not reported,Sorted,10,Cell-ID shuffle; map shuffle,500,95th percentile,#N/A,300
Drieu,Zugaro,2018,https://doi.org/10.1126/science.aat2952,Science,Rats,MUA,"MUA / theta/delta ratio / Secondary ripple analysis averages pyramidal-layer channels, uses 100-250 Hz minus 300-500 Hz contamination, peak 3 SD and bounds 1 SD, and keeps durations >20 and <110 ms. Main duration columns describe MUA replay candidates.",3,3,#N/A,10,#N/A,3,>1,100,250,60,500,#N/A,Bayes,20,2.4,4.5,Radon transform,"Each event is compared with 5000 independently circular-shifted posterior-column surrogates. The 20 ms windows are nonoverlapping; the published 4.5 cm place-field kernel is described as a width, without identifying it as SD.",Not reported,Not reported,Sorted,20,Per-column circular shift of position,5000,p<=0.05,#N/A,#N/A
Maboudi,Kemere,2018,https://doi.org/10.7554/eLife.34467,eLife,Rats,MUA,"PBEs from pooled single- and multi-unit activity / excluded if mean speed over the event > 5 cm/s / >= 4 active pyramidal cells and >= 4 20-ms bins / open field: Pfeiffer & Foster 2013 criteria (10 ms kernel, >= 10% of units, 50-2000 ms) / Numeric MUA fields describe linear-track PBEs. Open-field data instead use the Pfeiffer 2013 criteria: Gaussian SD 10 ms, >=10% units, 50-2000 ms.",3,#N/A,5,20,#N/A,4,#N/A,#N/A,#N/A,80,#N/A,#N/A,HMM; Bayes (comparison),20,#N/A,#N/A,HMM sequence likelihood; Bayesian line fit,"Both HMM model-congruence and Bayesian replay scores use 5000 surrogates per event. HMM shuffle permutes off-diagonal transitions within rows; Bayesian shuffle circularly shifts each posterior column. Significance thresholds are varied for ROC analyses; the pooled Bayesian comparison uses 99%, with HMM threshold adjusted to match its event fraction. Temporal/time-swap/Poisson surrogates are model-training controls.",#N/A,#N/A,Sorted,20,HMM off-diagonal transition shuffle; Bayesian posterior column-cycle,5000,Varied; Bayesian comparison 99th percentile,#N/A,#N/A
Ólafsdóttir,Barry,2017,https://doi.org/10.1016/j.neuron.2017.09.035,Neuron,Rats,MUA,"MUA / MUA uses place cells and requires >=15% of the ensemble and >5 cells for trajectories. Ripple columns, the 500 ms maximum and 40 ms merge refer to the separate ripple-overlap control; its power is squared Hilbert amplitude.",3,2.5,3,5,#N/A,>5,#N/A,150,250,40,500,40,Bayes,10,2,10,Radon transform,,17.5 cm,36.9-38.6%,Sorted,10,Place-field rotation,100,p<0.025,putative events,500
Wu,Ji,2017,https://doi.org/10.1038/nn.4507,Nature Neuroscience,Rats,MUA,MUA,4,#N/A,#N/A,#N/A,#N/A,4,#N/A,#N/A,#N/A,50,400,#N/A,Bayes,20,3.1,6.2,Linear regression,,Not reported,Not reported,Sorted,10,Time-bin shuffle,1000,p<0.05,#N/A,#N/A
Yamamoto,Tonegawa,2017,https://doi.org/10.1016/j.neuron.2017.09.017,Neuron,Mice,"SWR, MUA","extend to 1 STD / 70 ms groups adjacent ripple peaks into a single ripple in the ripple-burst analysis; it is a peak-to-peak interval, not an end-to-start gap. The 2 cm sleep criterion is displacement over 15 s, not 2 cm/s.",3,3,#N/A,#N/A,#N/A,#N/A,1,140,200,#N/A,#N/A,70,Bayes,10,Not reported,Not reported,Radon transform,,Not reported,12-15%,Both,Not reported,Column shuffle of the posterior,2000,Not reported,replay candidates,#N/A
Tang,Jadhav,2017,https://doi.org/10.1523/JNEUROSCI.2291-17.2017,Journal of Neuroscience,Rats,SWR,SWR,#N/A,3,4,#N/A,#N/A,5,>1,150,250,#N/A,#N/A,#N/A,Bayes,10,2,8,Linear regression," / Percentages are derived from the published condition-specific counts: 167/397 awake, 147/455 post-task sleep and 116/451 pre-task sleep candidates.",Not reported,42.1% awake; 32.3% post-sleep; 25.7% pre-sleep,Sorted,10,Time-bin shuffle,10000,p<0.05,candidate events,#N/A
Grosmark,Buzsáki,2016,https://doi.org/10.1126/science.aad1935,Science,Rats,"SWR, MUA","MUA and SWR / MUA event must contain the peak of at least one LFP-detected ripple (LFP method not reported) / NREM and quiet waking only; mean and SD from NREM of PRE and POST / states scored from theta/delta ratio, accelerometer and EMG / decoded events: >= 100 ms and >= 5 or 10% of place cells, whichever is greater",3,Not reported,#N/A,15,Not reported,5,Not reported,Not reported,Not reported,100,500,#N/A,Bayes,20,2,5,Weighted regression,,5.14 cm,Not reported,Sorted,20,Circular place-field shuffle; time-bin shuffle; Poisson surrogate,1000,#N/A,#N/A,500
